stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
MTL53A,Gare Pointe-aux-Trembles,,  45.674876, -73.505342,2,11610,1
LEG1C,Gare Repentigny,,  45.734587, -73.486111,5,11630,1
LEG1A,Gare Repentigny,,  45.734587, -73.486111,5,11630,1
LCN1C,Gare Terrebonne,,  45.728495, -73.521187,5,11640,1
LCN1A,Gare Terrebonne,,  45.728495, -73.521187,5,11640,1
MAS1C,Gare Mascouche,,  45.729587, -73.598495,5,11650,1
MAS1A,Gare Mascouche,,  45.729587, -73.598495,5,11650,1
_BALLAN,Ballantyne,,  45.447867, -73.680770,,99916,0
_BALLANT,Ballantyne,,  45.452500, -73.686638,,FA0002,0
_Josy,Josy Receving,,  45.487885, -73.676139,,FA0003,0
_PAT_Sud,Début Sud de la voie d'évitement Pointes-aux-Trembles,,  45.677631, -73.495249,,FA0004,0
_PAT_Nord,Fin Nord voie de contournement Pointe-aux-Trembles,,  45.694456, -73.488690,,FA0005,0
_Hibernia,Hibernia,,  45.478019, -73.564211,,FA0006,0
_Chlemagne,Faux arrêt Voie de contournement Charlemagne,,  45.731546, -73.486611,,FA0020,0
_RDP_Sud,Rivières-des-Prairies Sud,,  45.628154, -73.583037,,FA0021,0
_RDP_Nord,Rivière-des-Prairies Nord,,  45.642338, -73.564132,,FA0022,0
Turcot,Turcot Ouest,,  45.451478, -73.633384,,FA0023,0
_ST_Henri,Saint-Henri,,  45.473696, -73.591113,,FA0024,0
_Lachine,Canal Lachine,,  45.476887, -73.581406,,FA0025,0
_Bridge_N,Bridge Nord,,  45.489205, -73.556482,,FA0026,0
Wellington,Wellington,,  45.492605, -73.555951,,FA0027,0
_Paco,Paco,,  45.494674, -73.556294,,FA0028,0
Montreal,Montréal,,  45.498368, -73.563151,,FA0029,0
